year,month,day,home,away,OT,hFinal,h1,h2,h3,h4,hOT1,hOT2,hOT3,aFinal,a1,a2,a3,a4,aOT1,aOT2,aOT3,hW,hL,hP,hGB,hPSG,hPAG,aW,aL,aP,aGB,aPSG,aPAG,dow,doy
1990,02,02,SAC,WSB,0,99,22,25,21,31,0,0,0,108,31,18,26,33,0,0,0,12,32,.273,20.5,101.6,106.4,16,29,.356,12.5,105.2,108.8,5,32
1990,02,03,DET,CLE,0,105,32,27,23,23,0,0,0,100,23,31,25,21,0,0,0,32,14,.696,0,103.5,98.3,19,24,.442,11.5,98.8,101.9,6,33
1990,02,03,IND,NYK,0,98,23,27,25,23,0,0,0,112,28,24,23,37,0,0,0,23,23,.500,9,107.7,108.3,29,16,.644,0,109.1,106.4,6,33
1990,02,03,LAC,ORL,0,113,33,19,36,25,0,0,0,110,25,28,25,32,0,0,0,20,25,.444,13,103.8,104.9,13,32,.289,18.5,109.8,117.0,6,33
1990,02,03,HOU,PHO,0,105,25,22,27,31,0,0,0,130,38,39,28,25,0,0,0,21,24,.467,11,104.4,103.9,27,16,.628,5,113.9,105.6,6,33
1990,02,03,DAL,POR,0,100,25,29,25,21,0,0,0,131,35,29,28,39,0,0,0,24,22,.522,8.5,101.6,101.9,32,12,.727,0.5,112.1,105.7,6,33
1990,02,03,CHI,SAS,0,111,22,30,28,31,0,0,0,112,33,28,29,22,0,0,0,28,17,.622,3.5,109.2,106.8,31,13,.705,0.5,105.5,102.0,6,33
1990,02,03,SEA,WSB,0,94,27,18,26,23,0,0,0,92,19,27,24,22,0,0,0,21,22,.488,11,107.0,105.7,16,30,.348,13.5,104.9,108.4,6,33
1990,02,04,SAC,BOS,0,89,19,23,21,26,0,0,0,121,24,39,31,27,0,0,0,12,33,.267,21.5,101.3,106.7,27,17,.614,1.5,107.0,102.7,7,34
1990,02,04,ATL,DEN,0,113,29,39,22,23,0,0,0,125,33,32,36,24,0,0,0,21,23,.477,10.5,106.8,107.0,25,19,.568,6,115.7,112.7,7,34
1990,02,04,UTA,DET,0,83,19,20,20,24,0,0,0,115,35,31,22,27,0,0,0,31,13,.705,0,107.2,101.8,33,14,.702,0,103.8,97.9,7,34
1990,02,04,NJN,LAL,0,105,27,17,31,30,0,0,0,121,43,21,27,30,0,0,0,12,34,.261,17.5,97.1,104.6,33,11,.750,0,109.0,101.2,7,34
1990,02,04,PHI,MIL,0,105,22,26,32,25,0,0,0,102,28,22,19,33,0,0,0,29,16,.644,0,108.0,103.4,26,21,.553,7,107.1,107.0,7,34
1990,02,04,GSW,MIN,0,105,31,30,23,21,0,0,0,95,30,10,33,22,0,0,0,22,22,.500,11,115.2,117.8,10,34,.227,21,95.1,99.4,7,34
1990,02,04,PHO,POR,0,121,31,29,32,29,0,0,0,123,37,39,18,29,0,0,0,27,17,.614,6,114.1,106.0,33,12,.733,0.5,112.4,106.0,7,34
1990,02,05,SEA,CHH,0,101,21,31,28,21,0,0,0,100,23,33,24,20,0,0,0,22,22,.500,11,106.9,105.6,8,35,.186,22.5,98.3,107.7,1,35
1990,02,05,LAC,CLE,0,84,24,14,18,28,0,0,0,100,25,16,34,25,0,0,0,20,26,.435,14,103.4,104.8,20,24,.455,11.5,98.8,101.5,1,35
1990,02,05,MIA,NYK,0,107,28,18,27,34,0,0,0,116,28,30,27,31,0,0,0,10,37,.213,20.5,99.2,109.8,30,16,.652,0,109.3,106.4,1,35
1990,02,05,UTA,PHI,0,89,21,22,16,30,0,0,0,114,35,25,30,24,0,0,0,31,14,.689,0.5,106.8,102.0,30,16,.652,0,108.1,103.1,1,35
1990,02,05,GSW,WSB,0,129,25,29,32,43,0,0,0,135,29,33,45,28,0,0,0,22,23,.489,11.5,115.5,118.2,17,30,.362,13.5,105.5,108.9,1,35
1990,02,06,MIL,BOS,0,119,26,30,29,34,0,0,0,106,33,26,25,22,0,0,0,27,21,.563,7,107.4,107.0,27,18,.600,3,107.0,103.0,2,36
1990,02,06,IND,DEN,1,138,26,40,32,24,16,0,0,130,34,32,33,23,8,0,0,24,23,.511,9.5,108.3,108.8,25,20,.556,7,116.0,113.2,2,36
1990,02,06,CLE,DET,0,96,32,18,24,22,0,0,0,105,37,26,29,13,0,0,0,20,25,.444,12.5,98.7,101.6,34,14,.708,0,103.8,97.9,2,36
1990,02,06,MIN,HOU,0,101,23,27,20,31,0,0,0,108,36,33,19,20,0,0,0,10,35,.222,22,95.2,99.6,22,24,.478,10.5,104.5,103.8,2,36
1990,02,06,WSB,MIA,0,118,22,26,38,32,0,0,0,100,22,23,27,28,0,0,0,18,30,.375,13.5,105.8,108.7,10,38,.208,21.5,99.3,110.0,2,36
1990,02,06,NYK,ORL,0,117,29,27,29,32,0,0,0,110,28,27,34,21,0,0,0,31,16,.660,0,109.4,106.5,13,33,.283,20,109.8,117.0,2,36
1990,02,06,LAL,POR,1,121,31,28,26,28,8,0,0,119,24,21,37,31,6,0,0,34,11,.756,0,109.3,101.6,33,13,.717,1.5,112.5,106.3,2,36
